num_conn,startTimet,orig_pt,resp_pt1,orig_ht,resp_ht,duration,protocol_type,resp_pt2,flag,src_bytes,dst_bytes,land,wrong_fragment,urg,hot,num_failed_logins,logged_in,num_compromised,root_shell,su_attempted,num_root,num_file_creations,num_shells,num_access_files,num_outbound_cmds,is_hot_login,is_guest_login,count,srv_count,serror_rate,srv_serror_rate_sec,rerror_rate,srv_error_rate_sec,same_srv_rate,diff_srv_rate,dst_host_diff_srv_rate,count_100,srv_count_100,same_srv_rate_100,diff_srv_rate_100,dst_host_same_src_port_rate,dst_host_srv_diff_host_rate,dst_host_serror_rat,dst_host_srv_serror_rate,dst_host_rerror_rate,dst_host_srv_rerror_rate
1552,1580558703.408732,56879,58054,127.0.0.1,127.0.0.1,0.0,udp,58054,OTH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1550,0,0.0006450000000000001,0.0,0.0,0.0,0.0,1.0,0.0,100,0,0.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0
1553,1580558702.101357,3,3,127.0.0.1,127.0.0.1,1.30739,icmp,3,SH,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,805,775,0.0,0.0,0.0,0.0,0.962733,0.037267,0.0,100,50,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0
1554,1580558703.408765,56879,19382,127.0.0.1,127.0.0.1,0.0,udp,19382,OTH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1552,0,0.000644,0.0,0.0,0.0,0.0,1.0,0.0,100,0,0.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0
1555,1580558702.101357,3,3,127.0.0.1,127.0.0.1,1.3074219999999999,icmp,3,SH,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,806,776,0.0,0.0,0.0,0.0,0.962779,0.037221,0.0,100,50,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0
1556,1580558703.408798,56879,5638,127.0.0.1,127.0.0.1,0.0,udp,5638,OTH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1554,0,0.000644,0.0,0.0,0.0,0.0,1.0,0.0,100,0,0.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0
1557,1580558702.101357,3,3,127.0.0.1,127.0.0.1,1.307455,icmp,3,SH,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,807,777,0.0,0.0,0.0,0.0,0.962825,0.037175,0.0,100,50,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0
1558,1580558703.4088311,56879,15659,127.0.0.1,127.0.0.1,0.0,udp,15659,OTH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1556,0,0.000643,0.0,0.0,0.0,0.0,1.0,0.0,100,0,0.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0
1559,1580558702.101357,3,3,127.0.0.1,127.0.0.1,1.307487,icmp,3,SH,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,808,778,0.0,0.0,0.0,0.0,0.9628709999999999,0.037129,0.0,100,50,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0
1560,1580558703.408863,56879,33654,127.0.0.1,127.0.0.1,0.0,udp,33654,OTH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1558,0,0.000642,0.0,0.0,0.0,0.0,1.0,0.0,100,0,0.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0
1561,1580558702.101357,3,3,127.0.0.1,127.0.0.1,1.30752,icmp,3,SH,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,809,779,0.0,0.0,0.0,0.0,0.962917,0.037083,0.0,100,50,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0
1562,1580558703.4111972,56879,29267,127.0.0.1,127.0.0.1,0.0,udp,29267,OTH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1560,0,0.000641,0.0,0.0,0.0,0.0,1.0,0.0,100,0,0.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0
1563,1580558702.101357,3,3,127.0.0.1,127.0.0.1,1.309877,icmp,3,SH,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,810,780,0.0,0.0,0.0,0.0,0.9629629999999999,0.037037,0.0,100,50,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0
1564,1580558703.411259,56879,37580,127.0.0.1,127.0.0.1,0.0,udp,37580,OTH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1562,0,0.00064,0.0,0.0,0.0,0.0,1.0,0.0,100,0,0.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0
1565,1580558702.101357,3,3,127.0.0.1,127.0.0.1,1.309917,icmp,3,SH,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,811,781,0.0,0.0,0.0,0.0,0.963009,0.036991,0.0,100,50,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0
1566,1580558703.4112961,56879,13950,127.0.0.1,127.0.0.1,0.0,udp,13950,OTH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1564,0,0.0006389999999999999,0.0,0.0,0.0,0.0,1.0,0.0,100,0,0.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0
1567,1580558702.101357,3,3,127.0.0.1,127.0.0.1,1.309954,icmp,3,SH,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,812,782,0.0,0.0,0.0,0.0,0.9630540000000001,0.036946,0.0,100,50,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0
1568,1580558703.41133,56879,30079,127.0.0.1,127.0.0.1,0.0,udp,30079,OTH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1566,0,0.0006389999999999999,0.0,0.0,0.0,0.0,1.0,0.0,100,0,0.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0
1569,1580558702.101357,3,3,127.0.0.1,127.0.0.1,1.309987,icmp,3,SH,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,813,783,0.0,0.0,0.0,0.0,0.9631,0.0369,0.0,100,50,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0
1570,1580558703.4113631,56879,23703,127.0.0.1,127.0.0.1,0.0,udp,23703,OTH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1568,0,0.000638,0.0,0.0,0.0,0.0,1.0,0.0,100,0,0.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0
1571,1580558702.101357,3,3,127.0.0.1,127.0.0.1,1.31002,icmp,3,SH,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,814,784,0.0,0.0,0.0,0.0,0.963145,0.036855,0.0,100,50,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0
1572,1580558703.411396,56879,27082,127.0.0.1,127.0.0.1,0.0,udp,27082,OTH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1570,0,0.000637,0.0,0.0,0.0,0.0,1.0,0.0,100,0,0.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0
1573,1580558702.101357,3,3,127.0.0.1,127.0.0.1,1.310052,icmp,3,SH,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,815,785,0.0,0.0,0.0,0.0,0.96319,0.03681,0.0,100,50,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0
1574,1580558703.411457,56879,58885,127.0.0.1,127.0.0.1,0.0,udp,58885,OTH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1572,0,0.0006360000000000001,0.0,0.0,0.0,0.0,1.0,0.0,100,0,0.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0
1575,1580558702.101357,3,3,127.0.0.1,127.0.0.1,1.310114,icmp,3,SH,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,816,786,0.0,0.0,0.0,0.0,0.9632350000000001,0.036765,0.0,100,50,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0
1576,1580558703.41149,56879,34085,127.0.0.1,127.0.0.1,0.0,udp,34085,OTH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1574,0,0.0006349999999999999,0.0,0.0,0.0,0.0,1.0,0.0,100,0,0.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0
1577,1580558702.101357,3,3,127.0.0.1,127.0.0.1,1.310147,icmp,3,SH,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,817,787,0.0,0.0,0.0,0.0,0.9632799999999999,0.036719999999999996,0.0,100,50,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0
1578,1580558703.4115222,56879,40500,127.0.0.1,127.0.0.1,0.0,udp,40500,OTH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1576,0,0.0006349999999999999,0.0,0.0,0.0,0.0,1.0,0.0,100,0,0.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0
1579,1580558702.101357,3,3,127.0.0.1,127.0.0.1,1.310179,icmp,3,SH,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,818,788,0.0,0.0,0.0,0.0,0.963325,0.036675,0.0,100,50,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0
1580,1580558703.411556,56879,37166,127.0.0.1,127.0.0.1,0.0,udp,37166,OTH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1578,0,0.000634,0.0,0.0,0.0,0.0,1.0,0.0,100,0,0.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0
1581,1580558702.101357,3,3,127.0.0.1,127.0.0.1,1.3102129999999998,icmp,3,SH,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,819,789,0.0,0.0,0.0,0.0,0.9633700000000001,0.03663,0.0,100,50,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0
1582,1580558703.4115891,56879,63560,127.0.0.1,127.0.0.1,0.0,udp,63560,OTH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1580,0,0.000633,0.0,0.0,0.0,0.0,1.0,0.0,100,0,0.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0
1583,1580558702.101357,3,3,127.0.0.1,127.0.0.1,1.310246,icmp,3,SH,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,820,790,0.0,0.0,0.0,0.0,0.9634149999999999,0.036585,0.0,100,50,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0
1584,1580558703.411622,56879,60671,127.0.0.1,127.0.0.1,0.0,udp,60671,OTH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1582,0,0.0006320000000000001,0.0,0.0,0.0,0.0,1.0,0.0,100,0,0.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0
1585,1580558702.101357,3,3,127.0.0.1,127.0.0.1,1.3102790000000002,icmp,3,SH,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,821,791,0.0,0.0,0.0,0.0,0.9634590000000001,0.036541000000000004,0.0,100,50,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0
1586,1580558703.411654,56879,23634,127.0.0.1,127.0.0.1,0.0,udp,23634,OTH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1584,0,0.0006309999999999999,0.0,0.0,0.0,0.0,1.0,0.0,100,0,0.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0
1587,1580558702.101357,3,3,127.0.0.1,127.0.0.1,1.310311,icmp,3,SH,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,822,792,0.0,0.0,0.0,0.0,0.9635040000000001,0.036496,0.0,100,50,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0
1588,1580558703.411687,56879,56740,127.0.0.1,127.0.0.1,0.0,udp,56740,OTH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1586,0,0.0006309999999999999,0.0,0.0,0.0,0.0,1.0,0.0,100,0,0.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0
1589,1580558702.101357,3,3,127.0.0.1,127.0.0.1,1.310344,icmp,3,SH,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,823,793,0.0,0.0,0.0,0.0,0.963548,0.036452,0.0,100,50,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0
1590,1580558703.4117188,56879,28357,127.0.0.1,127.0.0.1,0.0,udp,28357,OTH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1588,0,0.00063,0.0,0.0,0.0,0.0,1.0,0.0,100,0,0.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0
1591,1580558702.101357,3,3,127.0.0.1,127.0.0.1,1.310376,icmp,3,SH,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,824,794,0.0,0.0,0.0,0.0,0.963592,0.036407999999999996,0.0,100,50,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0
1592,1580558703.411751,56879,10252,127.0.0.1,127.0.0.1,0.0,udp,10252,OTH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1590,0,0.000629,0.0,0.0,0.0,0.0,1.0,0.0,100,0,0.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0
