num_conn,startTimet,orig_pt,resp_pt1,orig_ht,resp_ht,duration,protocol_type,resp_pt2,flag,src_bytes,dst_bytes,land,wrong_fragment,urg,hot,num_failed_logins,logged_in,num_compromised,root_shell,su_attempted,num_root,num_file_creations,num_shells,num_access_files,num_outbound_cmds,is_hot_login,is_guest_login,count,srv_count,serror_rate,srv_serror_rate_sec,rerror_rate,srv_error_rate_sec,same_srv_rate,diff_srv_rate,dst_host_diff_srv_rate,count_100,srv_count_100,same_srv_rate_100,diff_srv_rate_100,dst_host_same_src_port_rate,dst_host_srv_diff_host_rate,dst_host_serror_rat,dst_host_srv_serror_rate,dst_host_rerror_rate,dst_host_srv_rerror_rate
741,1580559790.0805368,61865,8651,127.0.0.1,127.0.0.1,1.1e-05,tcp,8651,REJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,740,0,0.0,0.0,0.9959459999999999,0.0,0.0,1.0,0.0,100,0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
742,1580559790.080565,61865,9944,127.0.0.1,127.0.0.1,1.1e-05,tcp,9944,REJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,741,0,0.0,0.0,0.995951,0.0,0.0,1.0,0.0,100,0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
743,1580559790.080592,61865,8089,127.0.0.1,127.0.0.1,1.1e-05,tcp,8089,REJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,742,0,0.0,0.0,0.995957,0.0,0.0,1.0,0.0,100,0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
744,1580559790.080621,61865,24800,127.0.0.1,127.0.0.1,1.1e-05,tcp,24800,REJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,743,0,0.0,0.0,0.9959620000000001,0.0,0.0,1.0,0.0,100,0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
745,1580559790.0806491,61865,2103,127.0.0.1,127.0.0.1,1.1e-05,tcp,2103,REJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,744,0,0.0,0.0,0.9959680000000001,0.0,0.0,1.0,0.0,100,0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
746,1580559790.080676,61865,49176,127.0.0.1,127.0.0.1,1.1e-05,tcp,49176,REJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,745,0,0.0,0.0,0.995973,0.0,0.0,1.0,0.0,100,0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
747,1580559790.080704,61865,56738,127.0.0.1,127.0.0.1,1.1e-05,tcp,56738,REJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,746,0,0.0,0.0,0.9959790000000001,0.0,0.0,1.0,0.0,100,0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
748,1580559790.080732,61865,2022,127.0.0.1,127.0.0.1,1.1e-05,tcp,2022,REJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,747,0,0.0,0.0,0.995984,0.0,0.0,1.0,0.0,100,0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
749,1580559790.08076,61865,2105,127.0.0.1,127.0.0.1,1.1e-05,tcp,2105,REJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,748,0,0.0,0.0,0.9959889999999999,0.0,0.0,1.0,0.0,100,0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
750,1580559790.080787,61865,8300,127.0.0.1,127.0.0.1,1.1e-05,tcp,8300,REJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,749,0,0.0,0.0,0.9959950000000001,0.0,0.0,1.0,0.0,100,0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
